id;questao_id;dispositivo;descricao;posicao;efeito_calculo;perfil;autor;data;status;id_sucessora;fonte
INT-0001;Q-SEGREGACAO-MATERIAL;"Dec. 12.955/2026, art. 360, §14";"Fornecimento de material segregado no mesmo empreendimento perde a redução de 50%?";"Perde. O §14 exclui do conceito de serviço o fornecimento de material sem prestação conjunta; parcela faturada à parte sai do §13 e vai a alíquota cheia";"reducao_material_segregado=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0002;Q-SEGREGACAO-MATERIAL;"Dec. 12.955/2026, art. 360, §§13 e 14";"Fornecimento de material segregado no mesmo empreendimento perde a redução de 50%?";"Não perde quando material e execução integram o mesmo contrato/empreendimento da mesma contratada: a prestação é conjunta ainda que faturada em documentos separados";"reducao_material_segregado=sim";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0003;Q-TRIBUTO-POR-FORA;"EC 132/2023; LC 214/2025, art. 12";"IBS e CBS integram a própria base de cálculo?";"Não integram: cálculo por fora, conforme texto constitucional; pendente apenas de conferência literal para subir o selo";"tributo_por_fora=sim";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0004;Q-CPRB-BDI;"fora da LC 214/2025 (legislação da desoneração da folha)";"A CPRB permanece no termo I do BDI após a reforma do consumo?";"Permanece enquanto a legislação própria vigorar: a reforma do consumo não a revogou; manter no termo I quando a empresa for optante";"cprb_no_termo_i=sim";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0005;Q-CPRB-BDI;"fora da LC 214/2025 (legislação da desoneração da folha)";"A CPRB permanece no termo I do BDI após a reforma do consumo?";"Não permanece no horizonte de projeção: a desoneração tem prazo e tende à extinção; projetar sem CPRB";"cprb_no_termo_i=nao";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0006;Q-MOBILIZACAO-FATO-GERADOR;"LC 214/2025, art. 254";"Mobilização e canteiro: quando ocorre o fornecimento do serviço?";"O fato gerador ocorre a cada evento de fornecimento contratado (medição), incluindo mobilização quando prevista como item de pagamento";"fato_gerador=medicao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0007;Q-CREDITO-FREE-ISSUE;"LC 214/2025, art. 47";"Insumo de livre fornecimento do contratante gera crédito para a contratada?";"Não gera: a aquisição não é da contratada, não há operação de entrada em seu nome";"gera_credito=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0008;Q-CREDITO-FREE-ISSUE;"LC 214/2025, art. 47";"Insumo de livre fornecimento do contratante gera crédito para a contratada?";"Gera quando o ônus econômico do insumo compõe a operação da contratada; leitura ampla da não cumulatividade";"gera_credito=sim,base=cheia";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0009;Q-ESTATAIS-REEQUILIBRIO;"LC 214/2025, arts. 373 a 377";"Estatal da Lei 13.303/2016 é administração indireta para fins de reequilíbrio?";"Não presumir o direito no preço: tratar o reequilíbrio como incerto até jurisprudência, precificando o risco";"reequilibrio_estatais=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0010;Q-ESTATAIS-REEQUILIBRIO;"LC 214/2025, art. 374";"Estatal da Lei 13.303/2016 é administração indireta para fins de reequilíbrio?";"Cabe pedido: estatais integram a administração indireta; leitura doutrinária corrente alcança contratos da Lei 13.303";"reequilibrio_estatais=sim";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0011;Q-CREDITO-LOCACAO-EQUIPAMENTO;"LC 214/2025, art. 47";"Locação de equipamento e frota gera crédito para a obra?";"Não creditar até confirmação em regulamento ou solução de consulta; lacuna 7 do plano";"gera_credito=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0012;Q-CREDITO-LOCACAO-EQUIPAMENTO;"LC 214/2025, art. 47";"Locação de equipamento e frota gera crédito para a obra?";"Credita integralmente: locação é aquisição de serviço usado na atividade, dentro da regra geral do art. 47";"gera_credito=sim,base=cheia";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0013;Q-REGIME-SIMPLES-OPCAO;"LC 214/2025, art. 41";"Construtora do Simples: compensa recolher IBS/CBS por fora para transferir crédito ao cliente?";"Permanecer no Simples clássico até norma operacional clara; a opção por fora só se avalia caso a caso com cliente que se credita";"recolhimento_por_fora=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0014;Q-REGIME-SIMPLES-OPCAO;"LC 214/2025, art. 41";"Construtora do Simples: compensa recolher IBS/CBS por fora para transferir crédito ao cliente?";"Optar pelo recolhimento por fora sempre que a carteira for de clientes que se creditam: o crédito cheio vira vantagem competitiva";"recolhimento_por_fora=sim";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0015;Q-CREDITO-SIMPLES;"LC 214/2025, art. 41";"Aquisição de fornecedor do Simples: qual o limite do crédito?";"Crédito limitado ao montante de IBS/CBS efetivamente cobrado dentro do Simples; exige premissa de alíquota efetiva do fornecedor";"gera_credito=sim,base=limitada";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0016;Q-CREDITO-SIMPLES;"LC 214/2025, art. 41";"Aquisição de fornecedor do Simples: qual o limite do crédito?";"Crédito cheio quando o fornecedor optar pelo recolhimento por fora do Simples; considerar na cotação de subempreiteiros";"gera_credito=sim,base=cheia";agressivo;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
INT-0017;Q-CREDITO-MEI;"LC 214/2025, art. 41";"Aquisição de MEI (SIMEI) gera crédito de IBS/CBS?";"Não gera: o MEI recolhe em valores fixos e não destaca IBS/CBS; sem destaque, sem crédito";"gera_credito=nao";conservador;"registro inicial do projeto";2026-07-21;proposta;;"registro inicial; leitura direta do dispositivo, sem consulta ou jurisprudência"
